מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
118299- אלתורי לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,ז,1,רגיל,27,1,24,89%,24,89%,24,89%
118299- אלתורי לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,ז,2,רגיל,20,1,17,85%,16,80%,14,70%
118299- אלתורי לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,ז,3,רגיל,28,1,13,46%,11,39%,6,21%
118299- אלתורי לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,ז,4,רגיל,24,1,5,21%,4,17%,3,13%
118307- עמריה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,נפיסה סעידה,ז,2,רגיל,19,1,16,84%,13,68%,12,63%
118307- עמריה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,נפיסה סעידה,ז,1,רגיל,15,1,11,73%,10,67%,10,67%
118331- מולויה לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,נהיל אבו סרור,ז,2,רגיל,23,1,21,91%,18,78%,18,78%
118331- מולויה לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,נהיל אבו סרור,ז,1,רגיל,24,1,22,92%,17,71%,16,67%
140012- אולפנא תורנית חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,ז,4,רגיל,31,1,31,100%,30,97%,30,97%
140012- אולפנא תורנית חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,ז,5,רגיל,30,1,29,97%,27,90%,27,90%
140012- אולפנא תורנית חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,ז,1,רגיל,32,1,31,97%,28,88%,27,84%
140012- אולפנא תורנית חורב,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,ז,3,רגיל,31,1,31,100%,27,87%,27,87%
140038- עירוני דתי רוטשילד,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שולמית אייזקס,ז,2,רגיל,22,1,19,86%,17,77%,17,77%
140038- עירוני דתי רוטשילד,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,שולמית אייזקס,ז,1,רגיל,26,1,25,96%,18,69%,17,65%
140046- עירוני ג',ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,ז,3,רגיל,19,1,12,63%,11,58%,10,53%
140046- עירוני ג',ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,ז,1,רגיל,19,1,12,63%,9,47%,9,47%
140046- עירוני ג',ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,ז,2,מיוחד,6,1,1,17%,0,0%,0,0%
140053- אקדמיה למוסיקה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,ז,2,רגיל,22,1,21,95%,21,95%,21,95%
140053- אקדמיה למוסיקה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,ז,1,רגיל,21,1,20,95%,18,86%,17,81%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,5,רגיל,26,1,26,100%,26,100%,26,100%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,6,רגיל,24,1,24,100%,23,96%,22,92%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,2,רגיל,32,1,32,100%,30,94%,30,94%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,1,רגיל,40,1,39,98%,31,78%,28,70%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,3,רגיל,21,1,21,100%,16,76%,15,71%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,4,רגיל,28,1,28,100%,21,75%,17,61%
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,8,מיוחד,5,1,3,60%,2,40%,2,40%
